Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6,,1,2,3,4,5,6
1,19,18,19,17,10,18,,90,85,90,80,45,85
2,13,9,9,12,14,15,,60,40,40,55,65,70
3,3,1,3,16,17,4,,10,0,10,75,80,15
4,1,0,6,11,8,1,,0,-5,25,50,35,0
5,11,1,3,20,3,3,,50,0,10,95,10,10
6,20,10,15,18,14,5,,95,45,70,85,65,20
7,13,17,9,18,19,7,,60,80,40,85,90,30
8,4,3,16,18,5,6,,15,10,75,85,20,25
9,20,8,14,17,19,7,,95,35,65,80,90,30
10,0,0,0,21,21,21,,-5,-5,-5,100,100,100
11,14,2,9,20,18,2,,65,5,40,95,85,5
12,13,11,13,12,15,8,,60,50,60,55,70,35
13,13,14,10,12,7,2,,60,65,45,55,30,5
14,12,6,7,10,9,8,,55,25,30,45,40,35
15,17,13,2,13,17,5,,80,60,5,60,80,20
16,21,21,21,21,21,21,,100,100,100,100,100,100
17,14,20,21,19,20,8,,65,95,100,90,95,35
18,20,21,20,21,21,20,,95,100,95,100,100,95
19,19,0,1,20,0,0,,90,-5,0,95,-5,-5
20,1,1,3,18,6,3,,0,0,10,85,25,10
21,4,6,17,20,19,13,,15,25,80,95,90,60
22,14,8,10,9,10,15,,65,35,45,40,45,70
23,19,6,10,14,21,20,,90,25,45,65,100,95
24,1,1,2,17,1,1,,0,0,5,80,0,0
25,19,11,11,10,4,3,,90,50,50,45,15,10
26,10,11,12,13,14,8,,45,50,55,60,65,35
27,15,0,1,19,15,19,,70,-5,0,90,70,90
28,19,1,20,20,20,20,,90,0,95,95,95,95
29,19,11,6,9,8,6,,90,50,25,40,35,25
30,17,15,18,21,21,10,,80,70,85,100,100,45
31,4,8,9,19,4,8,,15,35,40,90,15,35
32,18,2,15,16,5,4,,85,5,70,75,20,15
Avg,12.7,8,10.4,16.3,12.7,9.1,,58.5,35,47,76.5,58.5,40.5
