Q#1,,,Q#2,,,,Q#3,,,,Q#4,,,,Q#5,,,,Q#6,
10,90,,5,85,,,0,90,,,15,80,,,35,45,,,10,85
60,60,,40,40,,,40,40,,,55,55,,,65,65,,,65,70
90,10,,0,0,,,85,10,,,15,75,,,80,80,,,80,15
80,0,,-5,-5,,,60,25,,,75,50,,,70,35,,,0,0
50,50,,0,0,,,10,10,,,95,95,,,10,10,,,10,10
90,95,,45,45,,,70,70,,,80,85,,,60,65,,,25,20
75,60,,70,80,,,85,40,,,85,85,,,80,90,,,90,30
75,15,,60,10,,,25,75,,,35,85,,,80,20,,,65,25
75,95,,25,35,,,55,65,,,90,80,,,75,90,,,25,30
100,-5,,100,-5,,,-5,-5,,,100,100,,,100,100,,,100,100
75,65,,10,5,,,45,40,,,85,95,,,70,85,,,20,5
80,60,,50,50,,,55,60,,,30,55,,,45,70,,,50,35
50,60,,65,65,,,50,45,,,55,55,,,30,30,,,25,5
15,55,,5,25,,,15,30,,,85,45,,,10,40,,,0,35
15,80,,30,60,,,85,5,,,80,60,,,90,80,,,75,20
100,100,,100,100,,,100,100,,,100,100,,,100,100,,,100,100
70,65,,15,95,,,70,100,,,20,90,,,65,95,,,10,35
95,95,,100,100,,,95,95,,,100,100,,,100,100,,,95,95
90,90,,-5,-5,,,0,0,,,95,95,,,0,-5,,,-5,-5
45,0,,30,0,,,50,10,,,55,85,,,75,25,,,30,10
40,15,,85,25,,,5,80,,,75,95,,,60,90,,,85,60
50,65,,35,35,,,30,45,,,65,40,,,75,45,,,45,70
80,90,,20,25,,,55,45,,,25,65,,,90,100,,,75,95
45,0,,15,0,,,20,5,,,45,80,,,50,0,,,5,0
90,90,,50,50,,,50,50,,,45,45,,,15,15,,,10,10
50,45,,50,50,,,55,55,,,55,60,,,55,65,,,40,35
80,70,,-5,-5,,,0,0,,,90,90,,,80,70,,,80,90
75,90,,30,0,,,80,95,,,70,95,,,70,95,,,65,95
55,90,,30,50,,,35,25,,,55,40,,,25,35,,,0,25
15,80,,20,70,,,60,85,,,30,100,,,45,100,,,50,45
70,15,,85,35,,,70,40,,,65,90,,,40,15,,,80,35
95,85,,10,5,,,60,70,,,60,75,,,20,20,,,35,15
