Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6,Q#7,Q#8,Q#9,Q#10,Odd,Even,Score
1,4,1,5,2,5,2,5,1,5,2,19,9,70
2,3,3,3,3,4,3,3,3,3,3,11,10,52.5
3,3,4,5,4,4,4,2,4,5,3,14,6,50
4,5,4,4,4,4,3,4,4,4,1,16,9,62.5
5,4,2,4,2,5,2,5,1,5,2,18,16,85
6,5,1,5,1,5,1,5,1,5,1,20,20,100
7,3,3,4,3,5,4,4,4,4,4,15,7,55
8,2,4,2,4,3,2,2,4,3,4,7,7,35
9,3,4,4,4,4,3,5,3,4,2,15,9,60
10,5,1,5,5,5,5,5,1,5,5,20,8,70
11,4,3,4,5,4,5,4,3,4,4,15,5,50
12,3,5,4,2,2,4,2,3,5,5,11,6,42.5
13,3,2,3,4,4,3,4,3,4,5,13,8,52.5
14,5,1,4,1,4,1,5,1,5,2,18,19,92.5
15,4,3,2,2,2,4,5,2,4,2,12,12,60
16,5,5,5,5,5,5,5,5,5,5,20,0,50
17,2,2,4,4,3,4,2,4,4,3,10,8,45
18,5,2,4,5,3,5,4,5,5,4,16,4,50
19,5,1,5,3,5,1,5,1,5,1,20,18,95
20,2,2,4,3,4,3,4,5,5,4,14,8,55
21,4,2,4,4,3,4,3,2,4,2,13,11,60
22,4,2,5,4,5,2,5,2,5,3,19,12,77.5
23,2,3,3,4,5,5,4,3,4,2,13,8,52.5
24,2,4,2,3,4,4,2,4,3,2,8,8,40
25,5,1,5,5,5,1,5,1,4,5,19,12,77.5
26,4,2,4,2,4,3,4,4,3,4,14,10,60
27,4,3,2,4,4,4,5,5,2,4,12,5,42.5
28,4,4,5,2,5,4,3,3,3,3,15,9,60
29,2,4,3,4,4,2,4,1,2,5,10,9,47.5
30,4,4,1,5,3,2,5,5,5,3,13,6,47.5
31,4,2,5,2,5,4,4,5,5,2,18,10,70
32,4,3,3,2,4,1,1,2,3,5,10,12,55
Avg,3.7,2.7,3.8,3.3,4.1,3.1,3.9,3,4.1,3.2,14.6,9.7,60.75
