Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6
1,3,2,1,4,8,3
2,13,9,9,12,14,14
3,19,1,18,4,17,17
4,10,4,5,10,11,2
5,11,1,3,20,3,3
6,19,10,15,17,13,6
7,16,15,18,18,17,19
8,16,13,6,8,17,14
9,16,6,12,19,16,6
10,21,21,0,21,21,21
11,16,3,10,18,15,5
12,17,11,12,7,10,11
13,11,14,11,12,7,6
14,4,2,4,18,3,1
15,4,7,18,17,19,16
16,21,21,21,21,21,21
17,15,4,15,5,14,3
18,20,21,20,21,21,20
19,19,0,1,20,1,0
20,10,7,11,12,16,7
21,9,18,2,16,13,18
22,11,8,7,14,16,10
23,17,5,12,6,19,16
24,17,0,13,16,15,1
25,19,11,11,10,4,3
26,11,11,12,12,12,9
27,17,0,1,19,17,17
28,16,7,17,15,15,14
29,12,7,8,12,6,1
30,4,5,13,7,10,11
31,15,18,15,14,9,17
32,20,3,13,13,5,8
Avg,14,8.3,10.4,13.7,12.7,10
