Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6
1,19,18,19,17,10,18
2,13,9,9,12,14,15
3,3,1,3,16,17,4
4,1,1,2,17,1,1
5,11,1,3,20,3,3
6,20,10,15,18,14,5
7,13,17,9,18,19,7
8,4,3,16,18,5,6
9,20,8,14,17,19,7
10,0,0,0,21,21,21
11,14,2,9,20,18,2
12,13,11,13,12,15,8
13,13,14,10,12,7,2
14,12,6,7,10,9,8
15,17,13,2,13,17,5
16,21,21,21,21,21,21
17,14,20,21,19,20,8
18,20,21,20,21,21,20
19,19,0,1,20,0,0
20,1,1,3,18,6,3
21,4,6,17,20,19,13
22,14,8,10,9,10,15
23,19,6,10,14,21,20
24,1,0,6,11,8,1
25,19,11,11,10,4,3
26,10,11,12,13,14,8
27,15,0,1,19,15,19
28,19,1,20,20,20,20
29,19,11,6,9,8,6
30,17,15,18,21,21,10
31,4,8,9,19,4,8
32,18,2,15,16,5,4
Avg,12.7,8,10.4,16.3,12.7,9.1
