Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6,Q#7,Q#8,Q#9,Q#10
1,4,1,5,2,5,2,5,1,5,2
2,3,3,3,3,4,3,3,3,3,3
3,3,4,2,4,4,4,2,4,5,3
4,2,4,2,3,3,4,2,4,3,2
5,4,2,4,2,5,2,5,1,5,2
6,5,1,5,1,5,1,5,1,5,1
7,3,3,4,3,5,4,4,4,4,4
8,2,4,2,4,3,2,2,4,3,4
9,3,4,4,4,4,3,5,3,4,2
10,5,1,5,5,5,5,5,1,5,5
11,4,3,4,5,4,5,4,3,4,4
12,3,5,1,2,2,4,2,3,5,5
13,3,2,3,4,4,3,4,3,4,5
14,5,1,4,1,4,1,5,1,5,2
15,4,3,2,2,2,4,5,2,4,2
16,5,5,5,5,5,5,5,5,5,5
17,2,2,3,4,3,4,2,4,4,3
18,5,2,4,5,5,5,4,5,5,4
19,5,1,5,3,5,1,5,1,5,1
20,2,2,4,3,4,3,4,5,5,4
21,4,2,4,4,3,4,3,2,4,2
22,4,2,5,4,5,2,5,2,5,3
23,2,3,3,4,4,5,4,3,4,2
24,5,4,1,4,4,3,4,4,4,1
25,5,1,5,5,5,1,5,1,4,5
26,4,2,1,2,1,3,4,4,3,4
27,4,3,2,4,2,4,5,5,2,4
28,4,4,3,2,4,4,3,3,3,3
29,2,4,5,4,2,2,4,1,2,5
30,4,4,1,5,3,2,5,5,5,3
31,4,2,1,2,3,4,4,5,5,2
32,4,3,3,2,4,1,1,2,3,5
Avg,3.7,2.7,3.3,3.3,3.8,3.1,3.9,3,4.1,3.2
