Participant #,Q#1,Q#2,Q#3,Q#4,Q#5,Q#6,Q#7,Q#8,Q#9,Q#10
1,3,2,4,2,5,4,4,2,5,3
2,3,2,4,3,5,1,3,1,4,1
3,5,3,5,5,5,1,5,2,5,1
4,5,1,5,1,5,1,5,1,5,1
5,3,4,3,2,4,1,3,4,4,1
6,5,4,5,2,5,1,5,1,5,1
7,4,2,5,3,4,1,5,1,4,1
8,4,2,4,2,4,1,5,2,5,2
9,3,4,4,1,5,1,4,3,3,1
10,3,2,3,2,5,1,5,2,4,2
11,3,2,3,2,4,1,4,3,3,1
12,5,2,4,2,4,3,3,3,4,1
13,5,2,3,1,4,2,4,1,4,1
14,4,3,4,1,5,1,5,2,5,3
15,4,2,3,1,4,2,5,2,4,1
16,1,5,1,5,2,3,3,5,1,4
17,3,2,2,1,4,3,5,4,5,5
18,5,3,5,3,4,4,5,1,5,2
19,4,2,4,4,5,3,4,4,4,4
20,5,1,5,1,5,1,5,1,2,1
21,4,3,3,3,4,1,4,3,4,3
22,5,4,5,5,5,4,5,4,5,5
23,4,4,3,4,4,4,3,3,3,4
24,5,1,4,1,5,1,5,4,4,1
25,3,4,2,5,5,3,2,4,2,5
26,3,4,3,2,4,2,4,3,2,1
27,4,2,4,3,5,1,3,1,4,1
28,4,3,3,2,4,3,4,4,4,3
29,4,3,2,1,5,3,2,4,3,2
30,5,1,5,2,4,1,5,1,5,4
31,4,3,4,3,5,3,5,3,3,4
32,3,2,5,2,5,1,5,4,5,2
Avg,3.9,2.6,3.7,2.4,4.5,2,4.2,2.6,3.9,2.3
