Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,2.8,2.2,1.7,3
2,1.5,2.1,2.5,1.7
3,1.1,1.5,2.4,1.8
4,2.6,2.7,2.3,2.3
5,1.7,1.5,1.5,1.6
6,1,1.3,1.3,1.3
7,0.4,1.6,1.8,1
8,2.3,1.4,2.3,1.4
9,2,1.5,1.2,1.5
10,1.8,2.3,1.9,1
11,2,2.7,2.3,2.3
12,1.4,1.3,1.6,2.9
13,4,2.5,1.9,2.7
14,0.8,1.1,0.8,0.7
15,1.5,3.4,3.8,2.5
16,1.9,1.9,1.5,5.4
17,1.8,1.7,1.4,1.3
18,0.9,0.7,0.8,0.7
19,4.1,2.9,2.3,2.9
20,1.7,1.8,1.5,1.5
21,2.4,1.9,2.5,2.9
22,1.4,2.8,1.3,1
23,1.2,1.8,1.6,2
24,1.9,2.2,1.4,1.7
25,2.1,1.6,2,2.7
26,1.4,1.3,1.2,1.4
27,1.6,1.9,1.8,1.2
28,1.4,1.2,1,1.8
29,1.3,0.7,1,1.1
30,1.1,2.1,1.1,1.2
31,1.6,2,1.9,1.7
32,3.5,2,3.2,2.8
33,1.8,1.9,1.8,1.9
