Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,1.5,1.3,1.7,1.8
2,1.6,1.5,1,1.1
3,0.7,0.6,1.3,0.6
4,0.9,0.8,0.5,1.7
5,1.4,1.1,0.8,1.3
6,0.4,1.4,0.4,0.4
7,0.6,0.9,1.1,0.5
8,1.4,0.6,0.5,0.3
9,1.7,0.9,0.7,0.6
10,1.6,2.9,1.4,0.4
11,0.7,1,3.2,1.4
12,1.1,0.4,0.5,1.8
13,1.6,0.9,1.5,2.3
14,0.2,0.4,0.4,0.4
15,0.8,0.7,1.9,0.8
16,1.1,0.4,1.6,1.2
17,0.6,0.7,0.4,0.4
18,0.5,1.3,0.6,0.3
19,2.3,2,4.6,1.2
20,0.4,2.1,0.5,0.6
21,1.3,0.9,1.2,1.4
22,0.5,1.5,1.1,0.4
23,0.5,1,1.2,0.9
24,0.8,0.6,1.1,0.4
25,1.3,1,0.9,1.1
26,0.6,0.8,0.8,1
27,0.4,0.6,1.5,0.6
28,0.6,0.4,1.1,2
29,1.1,0.6,0.3,0.4
30,0.5,0.7,1.1,0.6
31,0.4,0.6,1.1,1.1
32,1.4,1.4,0.8,1.4
33,1,1,1.1,1
