Participant #,ca-bubble,ca-grid,vsup-bubble,vsup-grid
1,5.6,4.5,4.3,6
2,3.7,4.7,5.1,4
3,4.1,4.2,4.7,4.8
4,4.4,4.4,3.8,5.3
5,4.2,3.7,2.8,4
6,1.6,4.2,2.8,2.3
7,1.6,3.3,6.1,2.4
8,4.8,2.5,3.4,3
9,4.9,5.7,4.7,6.5
10,4.5,6.5,5.4,3.8
11,4.2,5.7,6.2,5.5
12,3.9,2.6,2.6,7
13,6.8,4.3,4.2,5.9
14,1.3,3.1,1.8,5.4
15,3.2,5.1,7.6,3.9
16,3.9,2.9,3.7,7.7
17,5.6,5.2,6.6,6
18,1.8,3.4,2,1.4
19,7.8,6.1,8.7,4.8
20,2.3,5.6,4.3,2.7
21,4.7,3.7,4.3,6.2
22,2.5,6.2,3.3,1.9
23,5.9,4.8,6.5,7.1
24,5.2,5.8,5,6
25,6,5.5,8.8,7.5
26,2.5,3.5,2.4,3
27,3.8,4.1,6.1,3.9
28,4.5,6,6.3,8.3
29,3,1.6,1.7,2.3
30,4.8,5,5.7,7.3
31,4.3,6.2,5.1,5.7
32,5.7,4.4,5.4,5.7
33,4.1,4.5,4.7,4.9
